Item Name,Sale Price,Discount,Free Shipping,Total reviews
"Dainty Blue Tourmaline Gemstone Bracelet, Tiny 2mm Blue Tourmaline Beaded Bracelet, Gold Fill or Sterling Silver Stacking Bracelet",49.13,No discount,X,2200.0
"Mens Bracelet, 7mm Black Polished Curb Bracelet, Personalized Bracelet, Engraved Initials, Stainless Steel Bracelet for Men",36.40,No discount,O,2100.0
14k Gold Three-Stone Bracelet / Personalized Multi-Stone Family Bracelet / Custom Made Birthstone Gifts for Women / Mother's Day Gifts,116.00,(20% off),O,1400.0
Dainty Bezel Set Diamond Bracelet in 14k Rose Gold / Holiday Gift Idea,165.32,(15% off),O,31400.0
"Gold Filled 3 mm and 5 mm Roundel Beaded Layering Bracelet, Isabella Celini, Gold Filled Beads, Stretch Stacking Bracelet, Boho Chic",56.95,No discount,O,8400.0
"Garnet Bracelet, January Birthstone Bracelet, Bracelets for Women, Mothers Day Gift for Mom,  Delicate Bracelet Gold, Garnet Jewelry GB6B1",48.00,No discount,O,3800.0
Personalised Silver Baby Christening ID Bracelet • Baptism • Engraved Jewellery • Confirmation •,23.37,(20% off),X,14100.0
"Custom Gift for Her • Hidden Message • Morse Code Bracelet • Unique Mother's day Gift for Sister, Wife, Mom, Daughter -'Lou' bracelet",31.50,(25% off),X,8100.0
"Moon Bracelet Bangle, Personalised Photo Locket Bracelet, Adjustable, Alternative Custom Photo Gift, MOON LOCKET BRACELET",37.18,No discount,O,39800.0
Custom Engraved Brown/Black Leather Beads Bracelet with Small Silver Beads • Personalized Names Navigator Jewelry Gift for Him Dad Husband,29.50,(50% off),X,12000.0
"Gold, Silver Personalized Adjustable Leather Bracelets • Word of the Year Bracelet • Custom Name, Date Unisex Bracelet for Men and Women",25.50,(15% off),O,4000.0
"Engraved Handwriting Bracelets, Gold Signature Bracelet, Memorial Gift, Handwritten Cuff Bracelet, Handwritten Jewelry",46.40,(20% off),O,19200.0
"Double Strap Leather Cuff,Black Leather Bracelet, Leather Wristband,Adjustable Engraved Bracelet,Mens Bracelet with buckle,Message Cuff",42.90,(35% off),O,1400.0
Silver Pole Star Bracelet • Mother Of Pearl Enamel Pole Star Bracelet •  Gold North Star Bracelet • Dainty Rose Gold Pole Star Bracelet,23.60,(40% off),O,11900.0
"Gold Cross with Diamond Bracelet, Cross Gift Bracelet, 14k Solid Gold Bracelet with Diamond and Cross, Gold Cross Bracelet Gift, Cross Gift",56.99,(40% off),O,37700.0
"Thin Silver Bracelet, Sterling Silver, Box Chain Bracelet",30.40,(20% off),O,11300.0
"Custom Cuff Bracelet by Caitlyn Minimalist • Personalized Bracelet: Coordinates, Dates, Roman Numerals • Anniversary Gift for Her • BM06F30",32.55,(30% off),O,570300.0
"Gold Bar Bracelet, Silver Bar Bracelet, Personalized Bracelet, Dainty Gold Bracelet for Women, Initial Bracelet, Tiny Bar Bracelet,Bracelet",14.99,(40% off),X,37700.0
"Triple Wrapped Leather Bracelet With Heart, Leather Women Bracelet, Gold Bracelet For Women, Metal Beaded Bracelet, Black Cuff Bangle.",41.25,(25% off),X,1900.0
"Genuine Garnet Silver Bracelet, Rhodolite Garnet Jewelry, Pink Stone Bracelet, Dainty Silver Bracelet, Garnet Beaded Bracelet, Gemstone",38.66,(15% off),X,1300.0
"Wood Beaded Bracelet, Wooden Bracelet, Natural Stretch Bracelet, Surfer Bracelets, Men Beaded Bracelet, Womens Bead Bracelet, Gifts for Man",9.99,No discount,X,1700.0
"Dainty Boho Multicolor Gold Bracelet with Feather Charm, Minimalist Beaded Colorful Cute Summer Friendship Bracelet Gift for Her",31.84,No discount,X,14400.0
Crystal Bracelet Set •  Initial Bracelet • Crystal Bracelet • Layering Bracelet • Delicate Bracelet • Layered Bracelet • Bridesmaid BGS2,32.30,(15% off),O,72400.0
Mama Bracelet • Name Bracelet • Personalized Charm Bracelet • Mothers Day Gift • Mum Gift for Her • Personalized Childrens Names 13 SLD,32.30,(15% off),O,72400.0
"Family Garden Birth Flower Bracelet, Custom Bracelet, Multiple Disk Bracelet, Family Tree, Personalized Mom Gift, Sisters, Grandma",35.63,No discount,O,8900.0
"Sapphire Bracelet, Blue Sapphire Bracelet, Gemstone Bracelet, Dainty Bracelet, September Birthstone Bracelet",18.75,(25% off),X,11900.0
